视频时长,视频AV号,播放量,弹幕数,评论数,点赞数,投币数,分享数
106,698304779,1308137,445,634,199388,4662,1096
15,941295349,2503594,208,597,92986,362,1769
29,270850308,309458,32,377,20049,180,213
24,910864124,384494,42,171,17859,247,869
72,698334608,135430,64,74,3748,82,48
16,225954134,791653,202,522,39663,355,526
117,726759819,3951465,4173,2960,258923,40153,16445
155,228310209,534160,609,420,52711,1129,225
31,740768847,1481851,466,1112,65295,2952,4555
144,910763485,1994593,1301,1255,171677,15100,4324
23,685726096,3175188,787,1272,194483,5003,8906
27,610052639,802345,291,685,53408,672,1139
23,224727376,1045004,540,1109,45954,1266,2246
19,604487890,1995244,678,1706,255154,2251,5709
14,293675343,2093768,561,1380,94294,1959,1264
25,648980377,2468634,549,813,85175,1422,448
34,951805394,870518,808,1543,74963,2630,4056
67,570404546,4924910,1597,2655,425168,20290,9813
34,939003593,1839489,946,1178,201569,1946,2141
15,655803960,605744,188,386,57856,415,149
19,953289712,818997,223,1836,84553,1903,447
85,270821309,630910,460,552,35050,502,146
22,852522779,1943617,565,797,108546,1977,2360
44,528340764,1266217,167,571,40374,281,87
851,228276093,1413783,8020,1812,122003,49184,2863
832,783285441,1945870,5268,1162,197487,30628,1624
48,270555415,3986937,971,1328,325319,4629,10270
77,270835127,588875,602,469,7546,187,867
21,739021874,231079,99,273,12724,462,59
158,400823028,568083,786,995,56260,2839,2158
176,270851596,1662319,935,888,159747,10080,4243
17,396174471,625710,262,542,24501,1236,307
12,226036865,390814,158,409,38277,437,628
93,698317497,1485494,942,1520,40734,734,9697
335,783344836,671336,1194,530,43531,7726,1981
30,400640930,175113,31,79,7528,56,82
428,228324562,2231375,4932,5681,98537,6328,5620
98,740692556,1071202,1139,2034,9746,248,390
86,995797192,975484,731,1292,36925,2138,2044
90,783336950,1779202,1848,1077,229356,3010,2035
90,613294411,1313632,1409,1469,19608,528,8804
360,528279656,561454,328,229,5319,267,387
12,698203231,714507,34,369,17228,138,254
35,484619896,328752,123,262,21828,419,374
15,803596583,12054308,1364,3936,347906,47803,58500
23,224727376,1045004,540,1110,45954,1266,2246
22,852522779,1943617,565,798,108546,1977,2360
27,610052639,802345,291,686,53408,672,1139
9,588597487,17523692,616,2965,184129,7483,7005
12,226036865,390814,158,410,38277,437,628
12,982818139,1276947,392,941,63854,2013,2355
